PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
367,Bossiella californica,,Bossiella sp.,,None,,2013-04-09,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, North Beach Bench",7-Jul-2012,,The rbcL sequence for this specimen is C. officnalis.  It was originally recorded as B. californica.  Something is up with this sample.  The specimen definitely looks like B. californica and not C. officinalis.; curved over to form loose mat; note int. rhizoids and branching,A89709,,low,,,,,,,,,
368,Bossiella sp. 5chiloensis,Bossiella chiloensis (PG),Bossiella sp.,,None,,2013-03-27,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,,A89670,,"subtidal, 10ft depth",10ft,,,,,,,,
369,Bossiella sp. 5chiloensis,Bossiella chiloensis (PG),Bossiella sp.,,None,,2013-03-27,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,,A89671,,"subtidal, 10ft depth",10ft,,,,,,,,
370,Bossiella sp.2chiloensis,Bossiella CA/OR  (PG),Bossiella sp.,,None,,2013-03-27,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Hind: B.  dichotoma; Martone: B. frondifera,A89672,,Mid pool,,,,,,,,,
371,Chiharaea silvae,,Chiharea silvae,,None,,2013-03-27,,,R,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Pic #454,A89673,,"(+) 2m near phyllo on cobble, near sand",2m,,,,,,,,
372,Bossiella sp.2chiloensis,,Bossiella dichotoma,,None,,2013-03-27,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Pic #456,A89674,,(+) 2m near phyllo on cobble,2m,,,,,,,,
373,Bossiella frondifera,,Bossiella frondifera?,,None,,2013-03-27,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Pic #455,A89676,,(+) 2m near phyllo on cobble,2m,,,,,,,,
374,Bossiella frondifera,,Bossiella frondifera,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,,A89677,,"subtidal, 10ft depth",10ft,,,,,,,,
375,Bossiella frondescens,,Bossiella sp.,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Chinese Cemetary,24-Mar-2013,,,A89678,,Mid-intertidal,,,,,,,,,
376,Bossiella frondescens,,Bossiella sp.,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Chinese Cemetary,24-Mar-2013,,,A89679,,Mid-intertidal,,,,,,,,,
377,Bossiella frondescens,,Bossiella sp.,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Chinese Cemetary,24-Mar-2013,,,A89680,,Mid-intertidal,,,,,,,,,
378,Bossiella sp. 5chiloensis,,Bossiella sp.,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,,A89681,,"subtidal, 10ft depth",10ft,,,,,,,,
379,Bossiella sp. 5chiloensis,,Bossiella sp.,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,,A89682,,not noted in LYB,,,,,,,,,
380,Bossiella sp.2chiloensis,,Bossiella frondifera,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Pic #458,A89683,,(+2) with phyllo on cobble,,,,,,,,,
381,Bossiella sp.2chiloensis,,Bossiella dichotoma,,None,,2013-04-04,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,,A89684,,(+2) under phyllo on cobble,,,,,,,,,
382,Chiharaea rhododactyla,,Chihareae silvae,,None,,2013-04-09,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Pic #457,A89686,,(+2) under phyllo on cobble,,,,,,,,,
383,Bossiella sp.2chiloensis,,Bossiella dichotoma,,None,,2013-04-09,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,compare to 384; old growth; cerated basal int.; reproductive,A89687,,"(+2) on rock, near phyllo",,,,,,,,,
384,Bossiella sp.2chiloensis,,Bossiella dichotoma,,None,,2013-04-09,,,,,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,compare to 383; note new growth,A89688,,"on rock, near phyllo",,,,,,,,,
385,Bossiella frondescens,,Bossiella sp.,,None,,2013-04-09,,,,,Herbarium,,,Coralline,,,Chinese Cemetary,24-Mar-2013,,,A89689,,mid int. on limpet shell,,,,,,,,,
386,Pseudolithophyllum sp. 19muricatum,,P. muricatum,,None,,2013-04-09,,,FR,R,Herbarium,,,Coralline,,,Sombrio,23-Mar-2013,,Pic #452,A89690,,"(+2m) tidepool, epilithic",+2m,,,,,,,,
387,Bossiella plumosa,for phylogeny,B. plumosa,,None,,2013-05-13,,FR,,FR,Herbarium,,,Coralline,United States,California,"Hopkins, Cali",6-May-2013,,,A89691,,"mid, on rock",,,,,,,,,
388,Bossiella montereyensis,try rbcL - for phylogeny,B. plumosa,,None,,2013-05-13,,,,FR,Herbarium,,,Coralline,United States,California,"Hopkins, Cali",6-May-2013,,,A89692,,"mid, on mussel shell",,,,,,,,,
389,,no genetic material taken (yellow book),Membranoptera dimorpha,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,,A89710,,on mussel shell,,,,,,,,,
390,,no genetic material taken (yellow book),Membranoptera sp.,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,,A89711,,"low intertidal, with tunicates",,,,,,,,,
391,,no genetic material taken (yellow book),Grateloupia doryphora,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",6-Jul-2012,,,A89712,,"low intertidal, with tunicates",,,,,,,,,
392,,no genetic material taken (yellow book),Hymenena setchellii,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Fifth Beach exposed",5-Jul-2012,,,A89713,,"low intertidal, with tunicates; quadrat 15",15,,,,,,,,
