PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
47,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",1-Jun-2008,NA,NA,A87297,NA,"Epilithic, subtidal, near Denny wavemeter",NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,did not attempt because we have enough C. cheilosporioides sequences,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",1-Jun-2008,NA,NA,A87298,NA,"Epilithic, subtidal, near Denny wavemeter",NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-2004,NA,NA,A87299,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,NA,A87300,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,NA,A87301,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",26-Jan-2005,NA,NA,A87302,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Calliarthron cheilosporioides,NA,Calliarthron cheilosporioides,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",24-Feb-2004,NA,NA,A87303,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",24-Feb-2003,NA,NA,A87304,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, CA",25-Jan-2005,NA,NA,A87305,NA,"Epilithic, mid intertidal, near ""Coralline bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Calliarthron tuberculosum,NA,Calliarthron tuberculosum,NA,NA,NA,NA,NA,,,,Herbarium,NA,NA,Coralline,United States,California,"Hopkins Marine Station, Pacific Grove, Coralline Bench, CA",25-Feb-2004,NA,NA,A87306,NA,"Epilithic, low intertidal, ""Coralline Bench""",NA,NA,NA,NA,NA,NA,NA,NA,NA
