folder,file,ptm,gene,other
PTM001-500,PTM358,RbcL/358-F57,rbclrevnew,NA
PTM001-500,PTM358,RbcL/358-F57,tlf5,NA
PTM001-500,PTM358,RbcL/358-F57,tlr1,NA
PTM001-500,PTM358,RbcL/358-F753,rrbcsst,NA
PTM001-500,PTM359,RbcL/359-F57,f57,NA
PTM001-500,PTM359,RbcL/359-F57,rbclrevnew,NA
PTM001-500,PTM359,RbcL/359-F57,tlf5,NA
PTM001-500,PTM359,RbcL/359-F57,tlr1,NA
PTM001-500,PTM359,RbcL/359-F753,rrbcsst,NA
PTM001-500,PTM360,RbcL/360-F57,f57,NA
PTM001-500,PTM360,RbcL/360-F57,rbclrevnew,NA
PTM001-500,PTM360,RbcL/360-F57,tlf5,NA
PTM001-500,PTM360,RbcL/360-F57,tlr1,NA
PTM001-500,PTM361,RbcL/361-F57,f57,NA
PTM001-500,PTM362,RbcL/362-F753,rrbcsst,NA
PTM001-500,PTM363,PTM363,gwsfn,P1410467
PTM001-500,PTM363,PTM363,gwsrx,P1410467
PTM001-500,PTM363,RbcL/363-F57,f57,NA
PTM001-500,PTM363,RbcL/363-F753,rrbcsst,NA
PTM001-500,PTM364,PTM364,f57,P1410467
PTM001-500,PTM364,PTM364,gwsfn,P1410467
PTM001-500,PTM364,PTM364,gwsrx,P1410467
PTM001-500,PTM364,PTM364,psbaf,P1410467
PTM001-500,PTM364,PTM364,psbar2,P1410467
PTM001-500,PTM364,PTM364,rbclrevnew,P1410467
PTM001-500,PTM364,PTM364,tlf5,P1410467
PTM001-500,PTM364,PTM364,tlr,P1410467
PTM001-500,PTM364,RbcL/364-F753,rrbcsst,NA
PTM001-500,PTM365,RbcL/365-F753,rrbcsst,NA
PTM001-500,PTM366,RbcL/366-F753,rrbcsst,NA
PTM001-500,PTM366,RbcL/366-R1150K,r150k1,NA
PTM001-500,PTM367,CO1/367-GWSFn,gwsfn,NA
PTM001-500,PTM368,CO1/368-GWSFn,gwsfn,NA
PTM001-500,PTM368,CO1/368-GWSFn,gwsrx,NA
PTM001-500,PTM369,CO1/369-GWSFn,gwsfn,NA
PTM001-500,PTM369,CO1/369-GWSFn,gwsrx,NA
PTM001-500,PTM370,CO1/370-GWSFn,gwsfn,NA
PTM001-500,PTM370,CO1/370-GWSFn,gwsrx,NA
PTM001-500,PTM371,PTM371,psbar2,P1409319
PTM001-500,PTM372,CO1/372-GWSFn,gwsfn,NA
PTM001-500,PTM372,CO1/372-GWSFn,gwsrx,NA
PTM001-500,PTM373,CO1/373-GWSFn,gwsfn,NA
PTM001-500,PTM373,CO1/373-GWSFn,gwsrx,NA
PTM001-500,PTM374,CO1/374-GWSFn,gwsfn,NA
PTM001-500,PTM374,CO1/374-GWSFn,gwsrx,NA
PTM001-500,PTM375,CO1/375-GWSFn,gwsfn,NA
PTM001-500,PTM375,CO1/375-GWSFn,gwsrx,NA
PTM001-500,PTM376,CO1/376-GWSFn,gwsfn,NA
PTM001-500,PTM376,CO1/376-GWSFn,gwsrx,NA
PTM001-500,PTM377,CO1/377-GWSFn,gwsfn,NA
PTM001-500,PTM377,CO1/377-GWSFn,gwsrx,NA
PTM001-500,PTM378,CO1/378-GWSFn,gwsfn,NA
PTM001-500,PTM378,CO1/378-GWSFn,gwsrx,NA
PTM001-500,PTM379,CO1/379-GWSFn,gwsfn,NA
PTM001-500,PTM379,CO1/379-GWSFn,gwsrx,NA
PTM001-500,PTM380,CO1/380-GWSFn,gwsfn,NA
PTM001-500,PTM380,CO1/380-GWSFn,gwsrx,NA
PTM001-500,PTM381,CO1/381-GWSFn,gwsfn,NA
PTM001-500,PTM381,CO1/381-GWSFn,gwsrx,NA
PTM001-500,PTM382,CO1/382-GWSFn,gwsfn,NA
PTM001-500,PTM382,CO1/382-GWSFn,gwsrx,NA
PTM001-500,PTM383,CO1/383-GWSFn,gwsfn,NA
PTM001-500,PTM383,CO1/383-GWSFn,gwsrx,NA
PTM001-500,PTM384,CO1/384-GWSFn,gwsfn,NA
PTM001-500,PTM384,CO1/384-GWSFn,gwsrx,NA
PTM001-500,PTM385,CO1/385-GWSFn,gwsfn,NA
PTM001-500,PTM385,CO1/385-GWSFn,gwsrx,NA
PTM001-500,PTM386,CO1/386-GWSFn,gwsfn,NA
PTM001-500,PTM386,CO1/386-GWSFn,gwsrx,NA
PTM001-500,PTM386,PTM386,psbaf,P1511398
PTM001-500,PTM386,PTM386,psbaf,P1511448
PTM001-500,PTM386,PTM386,psbar2,P1511398
PTM001-500,PTM386,PTM386,psbar2,P1511409
PTM001-500,PTM386,PTM386,psbar2,P1511448
PTM001-500,PTM386,PTM386,rbclrevnew,P1511398
PTM001-500,PTM386,PTM386,tlf5,P1511398
PTM001-500,PTM386,PTM386,tlr,P1511391
PTM001-500,PTM387,PTM387,f57,P1410467
PTM001-500,PTM387,PTM387,gwsfn,P1409947
PTM001-500,PTM387,PTM387,gwsfn,P1410467
PTM001-500,PTM387,PTM387,gwsrx,P1410467
PTM001-500,PTM387,PTM387,psbaf,P1409947
PTM001-500,PTM387,PTM387,psbar2,P1409319
PTM001-500,PTM387,PTM387,rbclrevnew,P1410467
PTM001-500,PTM387,PTM387,tlf5,P1410467
PTM001-500,PTM387,PTM387,tlr,P1410467
PTM001-500,PTM388,PTM388,f57,P1410595
PTM001-500,PTM388,PTM388,gwsfn,P1409947
PTM001-500,PTM388,PTM388,gwsfn,P1410467
PTM001-500,PTM388,PTM388,gwsrx,P1410467
PTM001-500,PTM388,PTM388,psbaf,P1409947
PTM001-500,PTM388,PTM388,psbar2,P1409319
PTM001-500,PTM388,PTM388,rbclrevnew,P1410595
PTM001-500,PTM388,PTM388,tlf5,P1410595
PTM001-500,PTM388,PTM388,tlr,P1410595
PTM001-500,PTM403,PTM403,psbaf,P1308580
PTM001-500,PTM404,COI/PTM404,lf3,P1308312
PTM001-500,PTM404,COI/PTM404,rx,P1308312
PTM001-500,PTM408,PTM408,m3f,P1410660
PTM001-500,PTM409,PTM409,m3f,P1410660
PTM001-500,PTM411,COI/PTM411,lf3,P1308312
PTM001-500,PTM411,COI/PTM411,rx,P1308312
PTM001-500,PTM411,psbA/PTM411,psbaf,P1308580
PTM001-500,PTM411,psbA/PTM411,psbar2,P1308800
PTM001-500,PTM412,COI/PTM412,lf3,P1308312
PTM001-500,PTM412,COI/PTM412,rx,P1308312
PTM001-500,PTM412,psbA/PTM412,psbaf,P1308580
PTM001-500,PTM413,PTM413,lf3,P1308312
PTM001-500,PTM413,PTM413,rx,P1308312
PTM001-500,PTM415,COI/PTM415,lf3,P1308312
PTM001-500,PTM415,COI/PTM415,rx,P1308312
PTM001-500,PTM415,psbA/PTM415,psbaf,P1308580
PTM001-500,PTM415,psbA/PTM415,psbar2,P1308800
PTM001-500,PTM416,COI/PTM416,lf3,P1308312
PTM001-500,PTM416,COI/PTM416,rx,P1308312
PTM001-500,PTM416,psbA/PTM416,psbaf,P1308580
PTM001-500,PTM416,psbA/PTM416,psbar2,P1308800
PTM001-500,PTM417,PTM417,gwsfn,P1308580
PTM001-500,PTM418,PTM418,m3f,P1410660
PTM001-500,PTM419,COI/PTM419,lf3,P1308312
PTM001-500,PTM419,COI/PTM419,rx,P1308312
PTM001-500,PTM419,psbA/PTM419,psbaf,P1308580
PTM001-500,PTM420,PTM420,lf3,P1308312
PTM001-500,PTM420,PTM420,rx,P1308312
PTM001-500,PTM422,PTM422,m3f,P1410660
PTM001-500,PTM422,PTM422,m3f,P1410690
PTM001-500,PTM422,PTM442,f57,P1410595
PTM001-500,PTM422,PTM442,gwsfn,P1410587
PTM001-500,PTM422,PTM442,gwsfn,P1410595
PTM001-500,PTM422,PTM442,gwsrx,P1410595
PTM001-500,PTM422,PTM442,rbclrevnew,P1410595
PTM001-500,PTM422,PTM442,tlf5,P1410595
PTM001-500,PTM422,PTM442,tlr,P1410595
PTM001-500,PTM423,COI/PTM423,lf3,P1308312
PTM001-500,PTM423,COI/PTM423,rx,P1308312
PTM001-500,PTM423,psbA/PTM423,psbaf,P1308580
PTM001-500,PTM423,PTM423,f57,P1410467
PTM001-500,PTM423,PTM423,gwsfn,P1410467
PTM001-500,PTM423,PTM423,gwsrx,P1410467
PTM001-500,PTM423,PTM423,psbaf,P1410467
PTM001-500,PTM423,PTM423,psbar2,P1410467
PTM001-500,PTM423,PTM423,rbclrevnew,P1410467
PTM001-500,PTM423,PTM423,tlf5,P1410467
PTM001-500,PTM423,PTM423,tlr,P1410467
PTM001-500,PTM424,PTM424,m3f,P1410660
PTM001-500,PTM425,PTM425,m3f,P1410660
PTM001-500,PTM426,PTM426,m3f,P1410660
PTM001-500,PTM427,PTM427,gwsfn,P1511749
PTM001-500,PTM427,PTM427,gwsfn,P1511755
PTM001-500,PTM428,PTM428,m3f,P1410660
PTM001-500,PTM430,PTM430,f57,P1511448
PTM001-500,PTM430,PTM430,m3f,P1511749
PTM001-500,PTM430,PTM430,m3f,P1511755
PTM001-500,PTM430,PTM430,rbclrevnew,P1511448
PTM001-500,PTM430,PTM430,rbclrevnew,P1511469
PTM001-500,PTM430,PTM430,tlf5,P1511448
PTM001-500,PTM430,PTM430,tlr,P1511448
PTM001-500,PTM432,PTM432,gazf2,P1511448
PTM001-500,PTM433,PTM433,f57,P1511448
PTM001-500,PTM433,PTM433,m3f,P1511617
PTM001-500,PTM433,PTM433,m3f,P1511617
PTM001-500,PTM433,PTM433,rbclrevnew,P1511448
PTM001-500,PTM433,PTM433,rbclrevnew,P1511456
PTM001-500,PTM433,PTM433,tlf5,P1511448
PTM001-500,PTM433,PTM433,tlr,P1511448
PTM001-500,PTM433,PTM433,tlr,P1511456
PTM001-500,PTM435,PTM435,m3f,P1511448
PTM001-500,PTM435,PTM435,m3f,P1511456
PTM001-500,PTM437,PTM437,m3f,P1511448
PTM001-500,PTM440,PTM440,m3f,P1511448
PTM001-500,PTM442,PTM442,f57,P1410595
PTM001-500,PTM442,PTM442,gwsfn,P1410595
PTM001-500,PTM442,PTM442,gwsrx,P1410595
PTM001-500,PTM442,PTM442,psbaf,P1308580
PTM001-500,PTM442,PTM442,psbar2,P1308800
PTM001-500,PTM442,PTM442,rbclrevnew,P1410595
PTM001-500,PTM442,PTM442,tlf5,P1410595
PTM001-500,PTM442,PTM442,tlr,P1410595
PTM001-500,PTM443,PTM443,m3f,P1511448
PTM001-500,PTM444,PTM444,psbaf,P1308676
PTM001-500,PTM444,PTM444,psbaf,P1308701
PTM001-500,PTM445,PTM445,psbaf,P1308580
PTM001-500,PTM445,PTM445,psbaf,P1308598
PTM001-500,PTM445,PTM445,psbar2,P1308800
PTM001-500,PTM449,COI/PTM449,lf3,P1308312
PTM001-500,PTM449,COI/PTM449,rx,P1308312
PTM001-500,PTM449,psbA/PTM449,psbaf,P1308580
PTM001-500,PTM450,COI/PTM450,lf3,P1308312
PTM001-500,PTM450,COI/PTM450,rx,P1308312
PTM001-500,PTM450,psbA/PTM450,psbaf,P1308580
PTM001-500,PTM450,psbA/PTM450,psbar2,P1308800
PTM001-500,PTM451,PTM451,m3f,P1511749
PTM001-500,PTM451,PTM451,m3f,P1511755
PTM001-500,PTM453,PTM453,lf3,P1308312
PTM001-500,PTM453,PTM453,rx,P1308312
PTM001-500,PTM454,PTM454,m3f,P1511448
PTM001-500,PTM455,COI/PTM455,lf3,P1308312
